年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
111,12,112,北投區,13低壓裝置電力　　　　　,54,675,74586,935605
111,12,112,北投區,14低壓需量電力　　　　　,87,4972,691108,9182752
111,12,112,北投區,15低壓電力小計　　　　　,**,5647,765694,10118357
111,12,112,北投區,16高壓電力　　　　　　,125,105179,30678285,419613319
111,12,112,北投區,17高壓電動車　　　　　,*,1800,266800,1116800
111,12,112,北投區,18特高壓電力　　　　　　,*,9136,3759747,50803895
111,12,112,北投區,19高＆特高壓電力小計　　,**,116115,34704832,471534014
111,12,112,北投區,20電力小計　　　　　　　,**,121762,35470526,481652371
111,12,112,北投區,21綜合＆電力小計　　　　,**,164236,43442071,577838803
111,12,112,北投區,22電燈＆綜合＆電力小計　,**,179982,95781038,1107031082
111,12,112,北投區,23臨時電燈　　　　　　　,44,0,23825,404117
111,12,112,北投區,24臨時電力　　　　　　,71,4447,439558,4740861
111,12,112,北投區,25臨時用電小計　　　　　,**,4447,463383,5144978
111,12,112,北投區,26總計（含臨時用電）　　,**,179982,96244421,1112176060
111,12,112,北投區,27表燈合計　　　　　　　,**,15746,52362792,529596396
111,12,112,北投區,28綜合＆電力合計　　　　,**,164236,43881629,582579664
111,12,114,內湖區,1表燈非營業用　　　　　,107835,1431,34503767,514510346
111,12,114,內湖區,2表燈營業用　　　　　　,13805,29588,14390151,352750641
111,12,114,內湖區,3表燈小計　　　　　　　,**,31019,48893918,867260987
111,12,114,內湖區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,114,內湖區,5低壓綜合需量非營業用　,1264,51475,8282706,101093277
111,12,114,內湖區,6低壓電動車非營業用　,*,0,0,0
111,12,114,內湖區,7低壓綜合非營業用電小計,**,51475,8282706,101093277
111,12,114,內湖區,8低壓綜合裝置營業用　　,*,0,0,0
111,12,114,內湖區,9低壓綜合需量營業用　　,1971,119659,26105182,313404442
111,12,114,內湖區,10低壓電動車營業用　,*,887,27280,99640
111,12,114,內湖區,11低壓綜合營業用電小計　,**,120546,26132462,313504082
111,12,114,內湖區,12低壓綜合用電小計　　　,**,172021,34415168,414597359
111,12,114,內湖區,13低壓裝置電力　　　　　,20,170,11226,135605
111,12,114,內湖區,14低壓需量電力　　　　　,332,13584,2573261,31314856
111,12,114,內湖區,15低壓電力小計　　　　　,**,13754,2584487,31450461
111,12,114,內湖區,16高壓電力　　　　　　,168,141456,49066148,643659081
111,12,114,內湖區,17高壓電動車　　　　　,*,0,0,0
111,12,114,內湖區,18特高壓電力　　　　　　,*,8428,4162200,50830700
111,12,114,內湖區,19高＆特高壓電力小計　　,**,149884,53228348,694489781
111,12,114,內湖區,20電力小計　　　　　　　,**,163638,55812835,725940242
111,12,114,內湖區,21綜合＆電力小計　　　　,**,335659,90228003,1140537601
111,12,114,內湖區,22電燈＆綜合＆電力小計　,**,366678,139121921,2007798588
111,12,114,內湖區,23臨時電燈　　　　　　　,18,0,17957,278090
111,12,114,內湖區,24臨時電力　　　　　　,52,3144,289146,5761731
111,12,114,內湖區,25臨時用電小計　　　　　,**,3144,307103,6039821
111,12,114,內湖區,26總計（含臨時用電）　　,**,366678,139429024,2013838409
111,12,114,內湖區,27表燈合計　　　　　　　,**,31019,48911875,867539077
111,12,114,內湖區,28綜合＆電力合計　　　　,**,335659,90517149,1146299332
111,12,115,南港區,1表燈非營業用　　　　　,45877,282,8492701,205865373
111,12,115,南港區,2表燈營業用　　　　　　,4420,8865,4120836,89534985
111,12,115,南港區,3表燈小計　　　　　　　,**,9147,12613537,295400358
111,12,115,南港區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,115,南港區,5低壓綜合需量非營業用　,400,15154,2199323,27019838
111,12,115,南港區,6低壓電動車非營業用　,*,0,0,0
111,12,115,南港區,7低壓綜合非營業用電小計,**,15154,2199323,27019838
111,12,115,南港區,8低壓綜合裝置營業用　　,*,0,0,0
111,12,115,南港區,9低壓綜合需量營業用　　,268,12700,2760548,34090566
111,12,115,南港區,10低壓電動車營業用　,*,0,0,0
111,12,115,南港區,11低壓綜合營業用電小計　,**,12700,2760548,34090566
111,12,115,南港區,12低壓綜合用電小計　　　,**,27854,4959871,61110404
111,12,115,南港區,13低壓裝置電力　　　　　,21,308,16748,255710
111,12,115,南港區,14低壓需量電力　　　　　,131,4068,515213,6616788
111,12,115,南港區,15低壓電力小計　　　　　,**,4376,531961,6872498
111,12,115,南港區,16高壓電力　　　　　　,97,119344,33601816,452637648
111,12,115,南港區,17高壓電動車　　　　　,*,0,0,0
111,12,115,南港區,18特高壓電力　　　　　　,*,35618,14227745,192343591
111,12,115,南港區,19高＆特高壓電力小計　　,**,154962,47829561,644981239
111,12,115,南港區,20電力小計　　　　　　　,**,159338,48361522,651853737
111,12,115,南港區,21綜合＆電力小計　　　　,**,187192,53321393,712964141
111,12,115,南港區,22電燈＆綜合＆電力小計　,**,196339,65934930,1008364499
111,12,115,南港區,23臨時電燈　　　　　　　,6,0,325,79974
111,12,115,南港區,24臨時電力　　　　　　,49,8123,1069360,10665184
111,12,115,南港區,25臨時用電小計　　　　　,**,8123,1069685,10745158
111,12,115,南港區,26總計（含臨時用電）　　,**,196339,67004615,1019109657
111,12,115,南港區,27表燈合計　　　　　　　,**,9147,12613862,295480332
111,12,115,南港區,28綜合＆電力合計　　　　,**,187192,54390753,723629325
111,12,116,文山區,1表燈非營業用　　　　　,103361,553,28487743,453021959
111,12,116,文山區,2表燈營業用　　　　　　,4982,12486,8148314,97896654
111,12,116,文山區,3表燈小計　　　　　　　,**,13039,36636057,550918613
111,12,116,文山區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,116,文山區,5低壓綜合需量非營業用　,875,26767,3589170,44574532
111,12,116,文山區,6低壓電動車非營業用　,*,0,0,0
111,12,116,文山區,7低壓綜合非營業用電小計,**,26767,3589170,44574532
111,12,116,文山區,8低壓綜合裝置營業用　　,*,74,6921,82021
111,12,116,文山區,9低壓綜合需量營業用　　,296,9926,2652513,32124315
111,12,116,文山區,10低壓電動車營業用　,*,0,0,0
111,12,116,文山區,11低壓綜合營業用電小計　,**,10000,2659434,32206336
111,12,116,文山區,12低壓綜合用電小計　　　,**,36767,6248604,76780868
111,12,116,文山區,13低壓裝置電力　　　　　,23,252,47947,587440
111,12,116,文山區,14低壓需量電力　　　　　,27,1037,156529,1993406
111,12,116,文山區,15低壓電力小計　　　　　,**,1289,204476,2580846
111,12,116,文山區,16高壓電力　　　　　　,100,47253,9493034,128643618
111,12,116,文山區,17高壓電動車　　　　　,*,0,0,0
111,12,116,文山區,18特高壓電力　　　　　　,*,20807,8322351,107015118
111,12,116,文山區,19高＆特高壓電力小計　　,**,68060,17815385,235658736
111,12,116,文山區,20電力小計　　　　　　　,**,69349,18019861,238239582
111,12,116,文山區,21綜合＆電力小計　　　　,**,106116,24268465,315020450
111,12,116,文山區,22電燈＆綜合＆電力小計　,**,119155,60904522,865939063
111,12,116,文山區,23臨時電燈　　　　　　　,13,0,2914,139295
111,12,116,文山區,24臨時電力　　　　　　,46,2464,314015,3658437
111,12,116,文山區,25臨時用電小計　　　　　,**,2464,316929,3797732
111,12,116,文山區,26總計（含臨時用電）　　,**,119155,61221451,869736795
111,12,116,文山區,27表燈合計　　　　　　　,**,13039,36638971,551057908
111,12,116,文山區,28綜合＆電力合計　　　　,**,106116,24582480,318678887
111,12,200,仁愛區,1表燈非營業用　　　　　,23369,484,7029330,83729068
111,12,200,仁愛區,2表燈營業用　　　　　　,3230,6377,4089716,48530881
111,12,200,仁愛區,3表燈小計　　　　　　　,**,6861,11119046,132259949
111,12,200,仁愛區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,200,仁愛區,5低壓綜合需量非營業用　,142,3944,429019,5251961
111,12,200,仁愛區,6低壓電動車非營業用　,*,0,0,0
111,12,200,仁愛區,7低壓綜合非營業用電小計,**,3944,429019,5251961
111,12,200,仁愛區,8低壓綜合裝置營業用　　,*,86,8603,127901
111,12,200,仁愛區,9低壓綜合需量營業用　　,273,7712,1596454,20316958
111,12,200,仁愛區,10低壓電動車營業用　,*,0,0,0
111,12,200,仁愛區,11低壓綜合營業用電小計　,**,7798,1605057,20444859
111,12,200,仁愛區,12低壓綜合用電小計　　　,**,11742,2034076,25696820
111,12,200,仁愛區,13低壓裝置電力　　　　　,57,499,38670,549791
111,12,200,仁愛區,14低壓需量電力　　　　　,16,459,91752,1302470
111,12,200,仁愛區,15低壓電力小計　　　　　,**,958,130422,1852261
111,12,200,仁愛區,16高壓電力　　　　　　,25,8390,1501008,21315824
111,12,200,仁愛區,17高壓電動車　　　　　,*,0,0,0
111,12,200,仁愛區,18特高壓電力　　　　　　,*,0,0,0
111,12,200,仁愛區,19高＆特高壓電力小計　　,**,8390,1501008,21315824
111,12,200,仁愛區,20電力小計　　　　　　　,**,9348,1631430,23168085
111,12,200,仁愛區,21綜合＆電力小計　　　　,**,21090,3665506,48864905
111,12,200,仁愛區,22電燈＆綜合＆電力小計　,**,27951,14784552,181124854
111,12,200,仁愛區,23臨時電燈　　　　　　　,7,0,8043,34679
111,12,200,仁愛區,24臨時電力　　　　　　,*,49,2280,49800
111,12,200,仁愛區,25臨時用電小計　　　　　,**,49,10323,84479
111,12,200,仁愛區,26總計（含臨時用電）　　,**,27951,14794875,181209333
111,12,200,仁愛區,27表燈合計　　　　　　　,**,6861,11127089,132294628
111,12,200,仁愛區,28綜合＆電力合計　　　　,**,21090,3667786,48914705
111,12,201,信義區,1表燈非營業用　　　　　,27334,349,852013,105894839
111,12,201,信義區,2表燈營業用　　　　　　,1229,2808,1103980,23271648
111,12,201,信義區,3表燈小計　　　　　　　,**,3157,1955993,129166487
111,12,201,信義區,4低壓綜合裝置非營業用　,*,0,0,0
111,12,201,信義區,5低壓綜合需量非營業用　,146,6106,902800,11234380
111,12,201,信義區,6低壓電動車非營業用　,*,0,0,0
111,12,201,信義區,7低壓綜合非營業用電小計,**,6106,902800,11234380
111,12,201,信義區,8低壓綜合裝置營業用　　,*,68,13160,178200
111,12,201,信義區,9低壓綜合需量營業用　　,47,3047,675350,8001390
111,12,201,信義區,10低壓電動車營業用　,*,0,0,0
111,12,201,信義區,11低壓綜合營業用電小計　,**,3115,688510,8179590
111,12,201,信義區,12低壓綜合用電小計　　　,**,9221,1591310,19413970
111,12,201,信義區,13低壓裝置電力　　　　　,7,127,29606,360806
