年度,月份,郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計)
104,12,108,萬華區,10低壓綜合用電小計　　　,**,"36,900","7,156,373",93130580
104,12,108,萬華區,11低壓裝置電力　　　　　,306,"3,198","286,070",3953973
104,12,108,萬華區,12低壓需量電力　　　　　,40,1331,"187,028",2415631
104,12,108,萬華區,13低壓電力小計　　　　　,**,"4,529","473,098",6369604
104,12,108,萬華區,14高壓電力　　　　　　　,108,"45,014","12,384,911",165315305
104,12,108,萬華區,15特高壓電力　　　　　　,＊,0,0,0
104,12,108,萬華區,16高＆特高壓電力小計　　,**,"45,014","12,384,911",165315305
104,12,108,萬華區,17電力小計　　　　　　　,**,"49,543","12,858,009",171684909
104,12,108,萬華區,18綜合＆電力小計　　　　,**,"86,443","20,014,382",264815489
104,12,108,萬華區,19電燈＆綜合＆電力小計　,**,"101,473","51,850,558",714095092
104,12,108,萬華區,20臨時電燈　　　　　　　,17,0,"10,857",363142
104,12,108,萬華區,21臨時電力　　　　　　　,16,"1,130","157,080",1926850
104,12,108,萬華區,22臨時用電小計　　　　　,**,"1,130","167,937",2289992
104,12,108,萬華區,23總計（含臨時用電）　　,**,"101,473","52,018,495",716385084
104,12,108,萬華區,24表燈合計　　　　　　　,**,"15,030","31,847,033",449642745
104,12,108,萬華區,25綜合＆電力合計　　　　,**,"86,443","20,171,462",266742339
104,12,110,信義區,1表燈非營業用　　　　,"84,080",700,"18,956,429",398203227
104,12,110,信義區,2表燈營業用　　　　　　,"10,307","12,568","10,558,445",183913786
104,12,110,信義區,3表燈小計　　　　　　　,**,"13,268","29,514,874",582117013
104,12,110,信義區,4低壓綜合裝置非營業用　,＊,138,4280,56800
104,12,110,信義區,5低壓綜合需量非營業用　,554,"26,033","4,064,194",54561962
104,12,110,信義區,6低壓綜合非營業用電小計,**,"26,171","4,068,474",54618762
104,12,110,信義區,7低壓綜合裝置營業用　　,＊,28,"7,996",112438
104,12,110,信義區,8低壓綜合需量營業用　　,542,"24,244","5,385,435",71429019
104,12,110,信義區,9低壓綜合營業用電小計　,**,"24,272","5,393,431",71541457
104,12,110,信義區,10低壓綜合用電小計　　　,**,"50,443","9,461,905",126160219
