seqno,type,city,countycode,name,localcallservice,address
114,環保餐廳,新北市,65000,"Q Burger板橋四維店",02-22551055,新北市板橋區四維路308號
115,環保餐廳,新北市,65000,"Q Burger板橋民治店",02-22502901,新北市板橋區民治街63號1樓
116,環保餐廳,新北市,65000,"Q Burger板橋永豐店",02-29580337,新北市板橋區永豐街115號
117,環保餐廳,新北市,65000,"Q Burger板橋吳鳳店",02-22572358,新北市板橋區吳鳳路68號
118,環保餐廳,新北市,65000,"Q Burger板橋金園店",02-26818787,新北市板橋區金門街171號
119,環保餐廳,新北市,65000,"Q Burger板橋長安店",02-29590700,新北市板橋區長安街210之1號
120,環保餐廳,新北市,65000,"Q Burger板橋英士店",02-22580533,新北市板橋區英士路70號
121,環保餐廳,新北市,65000,"Q Burger板橋重慶店",02-89523866,新北市板橋區重慶路108號
122,環保餐廳,新北市,65000,"Q Burger板橋海山店",02-29546666,新北市板橋區漢生東路193巷7號1樓
123,環保餐廳,新北市,65000,"Q Burger板橋國光店",02-29684685,新北市板橋區國光路183號
124,環保餐廳,新北市,65000,"Q Burger板橋國慶店",02-29511321,新北市板橋區國慶路161之5號
125,環保餐廳,新北市,65000,"Q Burger板橋莊敬店",02-22555663,新北市板橋區莊敬路134號
126,環保餐廳,新北市,65000,"Q Burger板橋華興店",02-29522710,新北市板橋區華興街40號
127,環保餐廳,新北市,65000,"Q Burger板橋僑中店",02-82752908,新北市板橋區僑中一街90號1樓
128,環保餐廳,新北市,65000,"Q Burger板橋廣和店",02-29646679,新北市板橋區廣和街73號1樓
129,環保餐廳,新北市,65000,"Q Burger板橋龍泉店",02-22570118,新北市板橋區龍泉街83號
130,環保餐廳,新北市,65000,"Q Burger板橋懷德店",02-22563030,新北市板橋區懷德街160號
131,環保餐廳,新北市,65000,"Q Burger泰山全興店",02-22970930,新北市泰山區全興路105號
132,環保餐廳,新北市,65000,"Q Burger泰山明志店",02-29081667,新北市泰山區明志路2段353號
133,環保餐廳,新北市,65000,"Q Burger泰山泰林店",02-29090097,新北市泰山區泰林路二段475號1樓
134,環保餐廳,新北市,65000,"Q Burger泰山泰高店",02-22960737,新北市泰山區明志路一段433號一樓
135,環保餐廳,新北市,65000,"Q Burger泰山義學店",02-29002131,新北市泰山區明志路2段101號
136,環保餐廳,新北市,65000,"Q Burger國隆總店店",02-89837007,新北市三重區國隆路26號
137,環保餐廳,新北市,65000,"Q Burger淡水中山北店",02-26201186,新北市淡水區中山北路一段149巷28號
138,環保餐廳,新北市,65000,"Q Burger淡水新民店",02-26262060,新北市淡水區新民街65號
139,環保餐廳,新北市,65000,"Q Burger淡水學府店",02-86315056,新北市淡水區學府路85號
140,環保餐廳,新北市,65000,"Q Burger創英店",02-29999589,新北市三重區中興北街236號
141,環保餐廳,新北市,65000,"Q Burger新北五工店",02-22981080,新北市新莊區五工二路95號
142,環保餐廳,新北市,65000,"Q Burger新店三民店",02-89110352,新北市新店區三民路121號1樓
143,環保餐廳,新北市,65000,"Q Burger新店大豐店",02-89146488,新北市新店區大豐路16巷2號
144,環保餐廳,新北市,65000,"Q Burger新店中正店",02-86673625,新北市新店區中正路546號1樓
145,環保餐廳,新北市,65000,"Q Burger新店中華店",02-29120298,新北市新店區中華路39號
146,環保餐廳,新北市,65000,"Q Burger新店安民店",02-22120652,新北市新店區安民街300號一樓
147,環保餐廳,新北市,65000,"Q Burger新店安康店",02-86663040,新北市新店區安康路二段107巷1號
148,環保餐廳,新北市,65000,"Q Burger新店玫瑰店",02-22126673,新北市新店區安康路三段30號一樓
149,環保餐廳,新北市,65000,"Q Burger新店建國店",02-22188372,新北市新店區建國路189號1樓
150,環保餐廳,新北市,65000,"Q Burger新店建興店",02-29115618,新北市新店區建國路72號
151,環保餐廳,新北市,65000,"Q Burger新莊中平店",02-29979188,新北市新莊區中平路82巷10號
152,環保餐廳,新北市,65000,"Q Burger新莊中信店",02-29902295,新北市新莊區中信街18號
153,環保餐廳,新北市,65000,"Q Burger新莊中美店",02-29961570,新北市新莊區中港路179號
154,環保餐廳,新北市,65000,"Q Burger新莊中港店",02-22791117,新北市新莊區中港路419號
155,環保餐廳,新北市,65000,"Q Burger新莊中華店",02-29963313,新北市新莊區中華路一段45巷2號
156,環保餐廳,新北市,65000,"Q Burger新莊中榮店",02-29918006,新北市新莊區中榮街58號1樓
157,環保餐廳,新北市,65000,"Q Burger新莊化成店",02-29906004,新北市新莊區化成路31號
158,環保餐廳,新北市,65000,"Q Burger新莊民本店",02-22081229,新北市新莊區民本街22號
159,環保餐廳,新北市,65000,"Q Burger新莊民安店",02-22020252,新北市新莊區民安路35號
160,環保餐廳,新北市,65000,"Q Burger新莊立信店",02-22777909,"新北市新莊區立信三街12巷12號 1樓"
161,環保餐廳,新北市,65000,"Q Burger新莊光明店",02-22035686,新北市新莊區民安西路256號1樓
162,環保餐廳,新北市,65000,"Q Burger新莊成德店",02-22080936,新北市新莊區成德街8號
163,環保餐廳,新北市,65000,"Q Burger新莊自立店",02-29927886,新北市新莊區自立街190號
164,環保餐廳,新北市,65000,"Q Burger新莊昌明店",02-89921802,新北市新莊區昌明街28號
165,環保餐廳,新北市,65000,"Q Burger新莊建中店",02-29922626,新北市新莊區建中街86號
166,環保餐廳,新北市,65000,"Q Burger新莊建安店",02-22012300,新北市新莊區建安街45號1樓
167,環保餐廳,新北市,65000,"Q Burger新莊國小店",02-22771516,新北市新莊區中港路50號
