統計期,總計,,汽車,,大客車,,大客車 /自用,,大客車 /營業,,大客車 /營業 /遊覽車,,大客車 /營業 /營業(不含遊覽車),,大貨車,,大貨車 /自用,,大貨車 /營業,,小客車,,小客車 /自用,,小客車 /營業,,小客車 /營業 /租賃,,小客車 /營業 /計程車,,小客車 /營業 /其他營業小客車,,小貨車,,小貨車 /自用,,小貨車 /營業,,小貨車 /營業 /租賃,,小貨車 /營業 /營業(不含租賃),,特種車,,警備車,,救護車,,消防車,,郵車,,其他,,機車,,機車重型,,大型重型,,大型重型550cc以上,,大型重型未滿550cc,,普通重型,,機車輕型,,小型輕型,,普通輕型,
,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市,電能_新北市,電能_臺北市
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"說明：1.本表所列數字以各月(年)底領有統一牌照車輛為限,軍車及未領牌照車輛均不在統計之內；",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　亦不包括臨時牌照車輛。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"　　　2.102年8月起實施逾10年老舊機車(出廠逾10年之老舊機車,經實際查核5年內無道路違規、",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"　　　　無投保強制責任險、無環保排氣檢驗紀錄或未換發行照者)切結報廢,致機車數量減少。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"　　　3.110年7月起,「小客車營業」項下新增其他營業小客車分類,包括離島或偏遠地區路線客運",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　業者所使用之營業小客(貨)車及營業小型復康巴士。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　4.本表以改制後之行政區統計。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　5.使用燃料別定義說明。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
